destination,state,latitude,longitude,beach,nature,culture,food,adventure,heritage,shopping
Langkawi,Kedah,6.3500,99.8000,92,80,62,70,74,54,60
George Town,Penang,5.4141,100.3288,52,46,94,90,56,96,78
Kuala Lumpur,Federal Territory of Kuala Lumpur,3.1390,101.6869,24,38,82,86,58,72,95
Melaka,Melaka,2.1896,102.2501,48,42,90,82,52,94,72
Cameron Highlands,Pahang,4.4721,101.3828,8,94,52,72,70,48,46
Kota Kinabalu,Sabah,5.9804,116.0735,80,88,64,82,84,50,72
Kuching,Sarawak,1.5533,110.3592,46,84,78,74,72,68,54
Redang Island,Terengganu,5.7660,103.0100,94,78,34,52,70,26,32
Perhentian Islands,Terengganu,5.9167,102.7500,96,76,30,48,72,22,28
Tioman Island,Pahang,2.8120,104.1690,90,82,40,54,74,30,34
Kuala Terengganu,Terengganu,5.3302,103.1409,60,58,82,64,54,76,50
Cherating,Pahang,4.1256,103.3916,68,66,44,58,66,32,36
Kota Bharu,Kelantan,6.1254,102.2380,42,48,88,92,50,84,60
Semporna,Sabah,4.4793,118.6159,66,92,36,50,86,24,30
Kundasang,Sabah,5.9892,116.5816,6,96,42,56,68,28,32
Desaru,Johor,1.5388,104.1681,82,58,36,52,60,26,40
Pangkor Island,Perak,4.2161,100.5566,80,62,38,54,58,30,34
Taiping,Perak,4.8531,100.7393,18,84,72,62,56,74,44
Ipoh,Perak,4.5975,101.0901,16,60,80,88,54,78,64
Taman Negara,Pahang,4.3917,102.4067,10,98,44,50,92,34,24
Mersing,Johor,2.4312,103.8404,56,60,34,48,58,22,28
Port Dickson,Negeri Sembilan,2.5112,101.8394,70,46,40,56,50,26,48
Putrajaya,Federal Territory of Putrajaya,2.9264,101.6964,8,50,72,54,40,60,66
Sandakan,Sabah,5.8395,118.1173,44,90,46,58,76,38,40
Bako National Park,Sarawak,1.7167,110.4667,48,96,26,36,84,20,16
