state,year,population_thousand,resident_population
Johor,2022,4028.3,4028300
Johor,2023,4107.2,4107200
Kedah,2022,2163.1,2163100
Kedah,2023,2189.3,2189300
Kelantan,2022,1830.6,1830600
Kelantan,2023,1859.8,1859800
Melaka,2022,1008.6,1008600
Melaka,2023,1028.3,1028300
Negeri Sembilan,2022,1207.9,1207900
Negeri Sembilan,2023,1224.9,1224900
Pahang,2022,1614.3,1614300
Pahang,2023,1643.2,1643200
Perak,2022,2514.4,2514400
Perak,2023,2541.2,2541200
Perlis,2022,289.8,289800
Perlis,2023,293.1,293100
Pulau Pinang,2022,1740.9,1740900
Pulau Pinang,2023,1772.6,1772600
Sabah,2022,3414.9,3414900
Sabah,2023,3596.7,3596700
Sarawak,2022,2473.5,2473500
Sarawak,2023,2502.3,2502300
Selangor,2022,7050.3,7050300
Selangor,2023,7209.7,7209700
Terengganu,2022,1186.6,1186600
Terengganu,2023,1210.0,1210000
W.P. Kuala Lumpur,2022,1961.2,1961200
W.P. Kuala Lumpur,2023,2005.7,2005700
W.P. Labuan,2022,96.9,96900
W.P. Labuan,2023,99.0,99000
W.P. Putrajaya,2022,117.0,117000
W.P. Putrajaya,2023,118.8,118800
