state,year,visitors,tourists,trips,receipts_rm_million,average_length_of_stay,visitor_growth_pct,source_file,resident_population,population_thousand,tourism_intensity,receipts_per_resident_rm,tourists_per_resident
Johor,2022,12376202,6253816,12964945,4888.351,2.338,238.374,tourism_domestic_2023_johor.xlsx,4028300,4028.3,3.0723138793039246,1213.5022217809,1.5524702728197999
Johor,2023,15804890,8923001,16493661,6699.119,2.176,27.704,tourism_domestic_2023_johor.xlsx,4107200,4107.2,3.8480935917413324,1631.067150370082,2.1725265387612
Kedah,2022,11186197,5594602,11894479,3469.823,2.112,178.056,tourism_domestic_2023_kedah.xlsx,2163100,2163.1,5.1713730294484765,1604.0973602699828,2.5863815819888125
Kedah,2023,13444055,6452427,13687381,4206.619,2.027,20.184,tourism_domestic_2023_kedah.xlsx,2189300,2189.3,6.1408007125565245,1921.4447540309686,2.947255743845065
Kelantan,2022,6627155,3544766,8783750,2586.224,3.158,244.997,tourism_domestic_2023_kelantan.xlsx,1830600,1830.6,3.6202092210204304,1412.7739538948979,1.9363957172511745
Kelantan,2023,7549370,4085787,9299793,3228.385,3.073,13.916,tourism_domestic_2023_kelantan.xlsx,1859800,1859.8,4.0592375524249915,1735.8775137111518,2.1968959027852457
Melaka,2022,11757166,4559324,16667987,4842.594,2.138,203.165,tourism_domestic_2023_melaka.xlsx,1008600,1008.6,11.656916517945668,4801.302795954789,4.520448145944874
Melaka,2023,15558661,4991129,20093758,6438.411,2.234,32.333,tourism_domestic_2023_melaka.xlsx,1028300,1028.3,15.130468734805017,6261.218515997277,4.853767383059418
Negeri Sembilan,2022,11490144,3760820,14278615,3651.341,2.478,109.477,tourism_domestic_2023_negerisembilan.xlsx,1207900,1207.9,9.512496067555261,3022.883516847421,3.113519331070453
Negeri Sembilan,2023,14959470,4255450,17800523,4777.281,2.418,30.194,tourism_domestic_2023_negerisembilan.xlsx,1224900,1224.9,12.212809208915013,3900.139603232917,3.474120336353988
Pahang,2022,13188959,7794113,14993999,5316.789,2.106,287.367,tourism_domestic_2023_pahang.xlsx,1614300,1614.3,8.170079291333705,3293.5569596729233,4.82816886576225
Pahang,2023,16455567,8537108,17632756,6733.344,2.127,24.768,tourism_domestic_2023_pahang.xlsx,1643200,1643.2,10.014342137293086,4097.7020447906525,5.195416260954236
Perak,2022,14566727,6866520,17679702,4541.331,2.429,224.479,tourism_domestic_2023_perak.xlsx,2514400,2514.4,5.793321269487751,1806.129096404709,2.730878141902641
