date,time,origin,destination,ridership
1/1/2026,0:00,Segamat,Gua Musang,2
1/1/2026,0:00,Segamat,Jerantut,2
1/1/2026,0:00,Segamat,Kuala Krau,2
1/1/2026,0:00,Segamat,Kuala Lipis,3
1/1/2026,0:00,Segamat,Mentakab,1
1/1/2026,0:00,Segamat,Merapoh,4
1/1/2026,0:00,Segamat,Pasir Mas,5
1/1/2026,0:00,Segamat,Triang,1
1/1/2026,0:00,Segamat,Wakaf Bharu,9
1/1/2026,1:00,Gemas,Bahau,1
1/1/2026,1:00,Gemas,Dabong,18
1/1/2026,1:00,Gemas,Jerantut,1
1/1/2026,1:00,Gemas,Kuala Krau,2
1/1/2026,1:00,Gemas,Kuala Lipis,1
1/1/2026,1:00,Gemas,Merapoh,1
1/1/2026,1:00,Gemas,Pasir Mas,17
1/1/2026,1:00,Gemas,Tanah Merah,11
1/1/2026,1:00,Gemas,Tumpat,7
1/1/2026,1:00,Gemas,Wakaf Bharu,47
1/1/2026,1:00,Gua Musang,Gemas,1
1/1/2026,1:00,Gua Musang,JB Sentral,6
1/1/2026,1:00,Gua Musang,Jerantut,1
1/1/2026,1:00,Gua Musang,Kempas Baru,16
1/1/2026,1:00,Gua Musang,Kluang,6
1/1/2026,1:00,Gua Musang,Kuala Krau,1
1/1/2026,1:00,Gua Musang,Kulai,1
1/1/2026,1:00,Gua Musang,Mentakab,2
1/1/2026,1:00,Gua Musang,Segamat,12
1/1/2026,2:00,Bahau,Gua Musang,6
1/1/2026,2:00,Bahau,Pasir Mas,3
1/1/2026,2:00,Bahau,Tumpat,2
1/1/2026,2:00,Bahau,Wakaf Bharu,1
1/1/2026,3:00,Kemayan,Tumpat,2
1/1/2026,3:00,Kemayan,Wakaf Bharu,1
1/1/2026,3:00,Kuala Lipis,Bahau,1
1/1/2026,3:00,Kuala Lipis,Gemas,1
1/1/2026,3:00,Kuala Lipis,JB Sentral,6
1/1/2026,3:00,Kuala Lipis,Kempas Baru,1
1/1/2026,3:00,Kuala Lipis,Kluang,3
1/1/2026,3:00,Kuala Lipis,Kulai,1
1/1/2026,3:00,Kuala Lipis,Mentakab,2
1/1/2026,3:00,Kuala Lipis,Segamat,2
1/1/2026,3:00,Mentakab,Gua Musang,1
1/1/2026,3:00,Mentakab,Kuala Lipis,2
1/1/2026,3:00,Mentakab,Pasir Mas,6
1/1/2026,3:00,Mentakab,Tanah Merah,10
1/1/2026,3:00,Mentakab,Tumpat,4
1/1/2026,3:00,Mentakab,Wakaf Bharu,1
1/1/2026,3:00,Triang,Pasir Mas,2
1/1/2026,3:00,Triang,Tanah Merah,3
1/1/2026,3:00,Triang,Tumpat,1
1/1/2026,3:00,Triang,Wakaf Bharu,3
1/1/2026,4:00,Jerantut,JB Sentral,6
1/1/2026,4:00,Jerantut,Kempas Baru,2
1/1/2026,4:00,Jerantut,Kluang,5
1/1/2026,4:00,Jerantut,Kulai,1
1/1/2026,4:00,Jerantut,Segamat,2
1/1/2026,4:00,Kuala Krau,JB Sentral,4
1/1/2026,4:00,Kuala Krau,Kempas Baru,2
1/1/2026,4:00,Kuala Krau,Krai,5
1/1/2026,4:00,Kuala Krau,Tanah Merah,1
1/1/2026,4:00,Kuala Krau,Wakaf Bharu,3
1/1/2026,4:00,Mentakab,Gemas,3
1/1/2026,4:00,Mentakab,JB Sentral,12
1/1/2026,4:00,Mentakab,Kluang,12
1/1/2026,4:00,Mentakab,Kulai,3
1/1/2026,4:00,Mentakab,Segamat,3
1/1/2026,5:00,Jerantut,Gua Musang,1
1/1/2026,5:00,Jerantut,Krai,3
1/1/2026,5:00,Jerantut,Merapoh,1
1/1/2026,5:00,Jerantut,Pasir Mas,9
1/1/2026,5:00,Jerantut,Tanah Merah,5
1/1/2026,5:00,Jerantut,Tumpat,1
1/1/2026,5:00,Jerantut,Wakaf Bharu,16
1/1/2026,5:00,Kemayan,JB Sentral,1
1/1/2026,5:00,Krambit,Pasir Mas,1
1/1/2026,5:00,Triang,JB Sentral,11
1/1/2026,5:00,Triang,Kempas Baru,4
1/1/2026,5:00,Triang,Kulai,1
1/1/2026,6:00,Bahau,JB Sentral,14
1/1/2026,6:00,Bahau,Kluang,9
1/1/2026,6:00,Bahau,Kulai,7
1/1/2026,6:00,Kuala Lipis,Dabong,1
1/1/2026,6:00,Kuala Lipis,Krai,2
1/1/2026,6:00,Kuala Lipis,Pasir Mas,14
1/1/2026,6:00,Kuala Lipis,Wakaf Bharu,6
1/1/2026,7:00,Gemas,JB Sentral,5
1/1/2026,7:00,Gemas,Kempas Baru,3
1/1/2026,7:00,Gemas,Kluang,2
1/1/2026,7:00,Gemas,Kulai,5
1/1/2026,7:00,Gua Musang,Tanah Merah,1
1/1/2026,7:00,Gua Musang,Tumpat,1
1/1/2026,7:00,Merapoh,Wakaf Bharu,4
1/1/2026,8:00,Segamat,JB Sentral,13
1/1/2026,8:00,Segamat,Kempas Baru,4
1/1/2026,8:00,Segamat,Kluang,6
1/1/2026,8:00,Segamat,Kulai,5
1/1/2026,9:00,Dabong,Krai,3
1/1/2026,9:00,Dabong,Pasir Mas,1
1/1/2026,9:00,Dabong,Tanah Merah,2
1/1/2026,10:00,Kluang,JB Sentral,62
1/1/2026,10:00,Kluang,Kempas Baru,101
1/1/2026,10:00,Kluang,Kulai,5
1/1/2026,11:00,Krai,Pasir Mas,3
1/1/2026,11:00,Krai,Wakaf Bharu,10
1/1/2026,11:00,Kulai,JB Sentral,19
1/1/2026,1:00,Kuala Lipis,Gua Musang,3
1/1/2026,3:00,Tumpat,Bukit Panau,2
1/1/2026,3:00,Tumpat,Dabong,8
1/1/2026,3:00,Tumpat,Padang Tungku,6
1/1/2026,4:00,Gua Musang,Bertam Baru,1
1/1/2026,4:00,Gua Musang,Pasir Mas,10
1/1/2026,4:00,Gua Musang,Tumpat,14
1/1/2026,4:00,Gua Musang,Wakaf Bharu,2
1/1/2026,4:00,Kampung Sirian,Wakaf Bharu,1
1/1/2026,4:00,Pan Malayan,Pasir Mas,1
1/1/2026,4:00,Pan Malayan,To Uban,1
