state,year,visitors,tourists,receipts_rm_million,average_length_of_stay,visitor_growth_pct,resident_population,tourism_intensity,receipts_per_resident_rm,tourism_pressure_index,pressure_level
Melaka,2023,15558661,4991129,6438.411,2.234,32.333,1028300,15.130468734805017,6261.218515997277,67.75224905907196,MODERATE
W.P. Putrajaya,2023,1900379,501088,669.729,2.08,45.533,118800,15.996456228956228,5637.449494949495,64.33406422502412,MODERATE
W.P. Kuala Lumpur,2023,22232643,5724789,10995.324,2.696,31.457,2005700,11.084730019444583,5482.038191155208,61.565580785512424,MODERATE
Negeri Sembilan,2023,14959470,4255450,4777.281,2.418,30.194,1224900,12.212809208915013,3900.139603232917,52.19511324138611,MODERATE
Pahang,2023,16455567,8537108,6733.344,2.127,24.768,1643200,10.014342137293086,4097.7020447906525,50.953160928621614,MODERATE
Sarawak,2023,17901190,5324628,6942.673,3.482,15.756,2502300,7.153894417136235,2774.516644686888,40.89822351097732,MODERATE
Pulau Pinang,2023,13127587,4069699,5814.735,2.4,31.24,1772600,7.405837188310955,3280.342434841476,38.87741265403724,LOW
Terengganu,2023,11760516,4060007,4192.317,2.594,14.924,1210000,9.719434710743801,3464.7247933884296,36.60711704469954,LOW
Perak,2023,17107518,7503391,5641.024,2.346,17.442,2541200,6.732062804974028,2219.8268534550607,32.465611373408805,LOW
Sabah,2023,16080074,5775138,6712.515,2.671,27.731,3596700,4.470785442210915,1866.2982734172992,31.892192216432072,LOW
Johor,2023,15804890,8923001,6699.119,2.176,27.704,4107200,3.8480935917413324,1631.067150370082,31.735657742412585,LOW
Selangor,2023,27579478,8455682,11102.713,2.242,25.421,7209700,3.8253294866638003,1539.9687920440517,29.56141798556499,LOW
Kedah,2023,13444055,6452427,4206.619,2.027,20.184,2189300,6.1408007125565245,1921.4447540309686,26.161429971284747,LOW
W.P. Labuan,2023,331360,164105,194.064,2.886,35.973,99000,3.347070707070707,1960.2424242424242,24.143552345402018,LOW
Kelantan,2023,7549370,4085787,3228.385,3.073,13.916,1859800,4.0592375524249915,1735.8775137111518,22.049687319368584,LOW
Perlis,2023,1950771,735991,583.87,2.206,16.87,293100,6.655649948822927,1992.0504947117024,14.302950356111415,LOW
