state,year,visitors,tourists,trips,receipts_rm_million,average_length_of_stay,visitor_growth_pct,source_file
Johor,2022,12376202,6253816,12964945,4888.351,2.338,238.374,tourism_domestic_2023_johor.xlsx
Johor,2023,15804890,8923001,16493661,6699.119,2.176,27.704,tourism_domestic_2023_johor.xlsx
Kedah,2022,11186197,5594602,11894479,3469.823,2.112,178.056,tourism_domestic_2023_kedah.xlsx
Kedah,2023,13444055,6452427,13687381,4206.619,2.027,20.184,tourism_domestic_2023_kedah.xlsx
Kelantan,2022,6627155,3544766,8783750,2586.224,3.158,244.997,tourism_domestic_2023_kelantan.xlsx
Kelantan,2023,7549370,4085787,9299793,3228.385,3.073,13.916,tourism_domestic_2023_kelantan.xlsx
Melaka,2022,11757166,4559324,16667987,4842.594,2.138,203.165,tourism_domestic_2023_melaka.xlsx
Melaka,2023,15558661,4991129,20093758,6438.411,2.234,32.333,tourism_domestic_2023_melaka.xlsx
Negeri Sembilan,2022,11490144,3760820,14278615,3651.341,2.478,109.477,tourism_domestic_2023_negerisembilan.xlsx
Negeri Sembilan,2023,14959470,4255450,17800523,4777.281,2.418,30.194,tourism_domestic_2023_negerisembilan.xlsx
Pahang,2022,13188959,7794113,14993999,5316.789,2.106,287.367,tourism_domestic_2023_pahang.xlsx
Pahang,2023,16455567,8537108,17632756,6733.344,2.127,24.768,tourism_domestic_2023_pahang.xlsx
Perak,2022,14566727,6866520,17679702,4541.331,2.429,224.479,tourism_domestic_2023_perak.xlsx
Perak,2023,17107518,7503391,18831264,5641.024,2.346,17.442,tourism_domestic_2023_perak.xlsx
Perlis,2022,1669175,710991,1799569,455.619,2.347,310.322,tourism_domestic_2023_perlis.xlsx
Perlis,2023,1950771,735991,2139229,583.87,2.206,16.87,tourism_domestic_2023_perlis.xlsx
Pulau Pinang,2022,10002735,3484229,11705595,3648.399,2.591,97.649,tourism_domestic_2023_pulaupinang.xlsx
Pulau Pinang,2023,13127587,4069699,15350976,5814.735,2.4,31.24,tourism_domestic_2023_pulaupinang.xlsx
Sabah,2022,12589005,3823046,17254974,4825.87,3.058,229.986,tourism_domestic_2023_sabah.xlsx
Sabah,2023,16080074,5775138,19900312,6712.515,2.671,27.731,tourism_domestic_2023_sabah.xlsx
Sarawak,2022,15464621,3988879,19290587,5430.772,3.516,137.519,tourism_domestic_2023_sarawak.xlsx
Sarawak,2023,17901190,5324628,21076631,6942.673,3.482,15.756,tourism_domestic_2023_sarawak.xlsx
Selangor,2022,21989558,6388784,25987930,8734.808,2.323,115.339,tourism_domestic_2023_selangor.xlsx
Selangor,2023,27579478,8455682,28949304,11102.713,2.242,25.421,tourism_domestic_2023_selangor.xlsx
Terengganu,2022,10233282,3689343,12791324,3363.299,2.685,175.158,tourism_domestic_2023_terengganu.xlsx
Terengganu,2023,11760516,4060007,13868810,4192.317,2.594,14.924,tourism_domestic_2023_terengganu.xlsx
W.P. Kuala Lumpur,2022,16912534,4117095,19877593,7732.796,3.087,85.526,tourism_domestic_2023_wpkualalumpur.xlsx
W.P. Kuala Lumpur,2023,22232643,5724789,24012311,10995.324,2.696,31.457,tourism_domestic_2023_wpkualalumpur.xlsx
W.P. Labuan,2022,243695,111658,263150,136.294,3.67,352.133,tourism_domestic_2023_wplabuan.xlsx
W.P. Labuan,2023,331360,164105,372829,194.064,2.886,35.973,tourism_domestic_2023_wplabuan.xlsx
W.P. Putrajaya,2022,1305808,367989,1551058,455.991,2.682,485.548,tourism_domestic_2023_wpputrajaya.xlsx
W.P. Putrajaya,2023,1900379,501088,1964587,669.729,2.08,45.533,tourism_domestic_2023_wpputrajaya.xlsx
