source_destination,candidate_destination,similarity_score
Langkawi,Kota Kinabalu,99.33
Langkawi,Cherating,99.2
Langkawi,Port Dickson,98.93
Langkawi,Pangkor Island,98.91
Langkawi,Desaru,98.65
Langkawi,Mersing,98.28
Langkawi,Tioman Island,97.76
Langkawi,Redang Island,96.94
Langkawi,Kuching,96.22
Langkawi,Kuala Terengganu,95.97
Langkawi,Sandakan,95.93
Langkawi,Perhentian Islands,95.63
Langkawi,Semporna,95.02
Langkawi,George Town,91.47
Langkawi,Kota Bharu,91.12
Langkawi,Melaka,90.82
Langkawi,Taiping,90.26
Langkawi,Bako National Park,89.11
Langkawi,Cameron Highlands,88.73
Langkawi,Ipoh,88.48
Langkawi,Kuala Lumpur,87.27
Langkawi,Putrajaya,86.25
Langkawi,Kundasang,85.78
Langkawi,Taman Negara,85.18
George Town,Melaka,99.96
George Town,Kota Bharu,99.54
George Town,Kuala Terengganu,98.09
George Town,Kuala Lumpur,97.84
George Town,Ipoh,97.69
George Town,Putrajaya,96.44
George Town,Kuching,95.5
George Town,Taiping,93.63
George Town,Kota Kinabalu,91.93
George Town,Langkawi,91.47
George Town,Port Dickson,89.66
George Town,Cherating,87.88
George Town,Cameron Highlands,87.13
George Town,Sandakan,86.32
George Town,Pangkor Island,85.39
George Town,Mersing,84.92
George Town,Desaru,84.63
George Town,Tioman Island,81.39
George Town,Redang Island,79.1
George Town,Kundasang,78.95
George Town,Semporna,78.13
George Town,Taman Negara,76.59
George Town,Perhentian Islands,76.11
George Town,Bako National Park,70.11
Kuala Lumpur,Putrajaya,97.86
Kuala Lumpur,George Town,97.84
Kuala Lumpur,Ipoh,97.66
Kuala Lumpur,Melaka,97.55
Kuala Lumpur,Kota Bharu,97.13
Kuala Lumpur,Kuala Terengganu,93.51
Kuala Lumpur,Kuching,93.07
Kuala Lumpur,Taiping,91.61
Kuala Lumpur,Kota Kinabalu,89.86
Kuala Lumpur,Cameron Highlands,87.99
Kuala Lumpur,Langkawi,87.27
Kuala Lumpur,Port Dickson,86.53
Kuala Lumpur,Sandakan,84.42
Kuala Lumpur,Cherating,83.85
Kuala Lumpur,Mersing,81.17
Kuala Lumpur,Pangkor Island,80.02
Kuala Lumpur,Desaru,79.97
Kuala Lumpur,Kundasang,79.92
Kuala Lumpur,Taman Negara,76.58
Kuala Lumpur,Tioman Island,76.02
Kuala Lumpur,Semporna,74.7
Kuala Lumpur,Redang Island,73.34
Kuala Lumpur,Perhentian Islands,70.07
Kuala Lumpur,Bako National Park,66.8
