state,year,population_thousand,resident_population,population_growth_pct,population_share_pct
Johor,2022,4028.3,4028300,,12.3196
Johor,2023,4107.2,4107200,1.9586,12.2963
Kedah,2022,2163.1,2163100,,6.6153
Kedah,2023,2189.3,2189300,1.2112,6.5544
Kelantan,2022,1830.6,1830600,,5.5985
Kelantan,2023,1859.8,1859800,1.5951,5.568
Melaka,2022,1008.6,1008600,,3.0846
Melaka,2023,1028.3,1028300,1.9532,3.0786
Negeri Sembilan,2022,1207.9,1207900,,3.6941
Negeri Sembilan,2023,1224.9,1224900,1.4074,3.6672
Pahang,2022,1614.3,1614300,,4.937
Pahang,2023,1643.2,1643200,1.7902,4.9195
Perak,2022,2514.4,2514400,,7.6897
Perak,2023,2541.2,2541200,1.0659,7.608
Perlis,2022,289.8,289800,,0.8863
Perlis,2023,293.1,293100,1.1387,0.8775
Pulau Pinang,2022,1740.9,1740900,,5.3241
Pulau Pinang,2023,1772.6,1772600,1.8209,5.3069
Sabah,2022,3414.9,3414900,,10.4437
Sabah,2023,3596.7,3596700,5.3237,10.768
Sarawak,2022,2473.5,2473500,,7.5646
Sarawak,2023,2502.3,2502300,1.1643,7.4915
Selangor,2022,7050.3,7050300,,21.5617
Selangor,2023,7209.7,7209700,2.2609,21.5848
Terengganu,2022,1186.6,1186600,,3.6289
Terengganu,2023,1210,1210000,1.972,3.6226
W.P. Kuala Lumpur,2022,1961.2,1961200,,5.9979
W.P. Kuala Lumpur,2023,2005.7,2005700,2.269,6.0048
W.P. Labuan,2022,96.9,96900,,0.2963
W.P. Labuan,2023,99,99000,2.1672,0.2964
W.P. Putrajaya,2022,117,117000,,0.3578
W.P. Putrajaya,2023,118.8,118800,1.5385,0.3557
