state,year,visitors,tourists,trips,receipts_rm_million,average_length_of_stay,visitor_growth_pct,source_file,visitors_per_trip,receipts_per_visitor,receipts_per_trip,tourists_share,resident_population,tourism_intensity,occupancy_rate
Johor,2022,12376202,6253816,12964945,4888.351,2.338,238.374,tourism_domestic_2023_johor.xlsx,0.95458963,0.00039498,0.00037704,0.50530979,,,
Johor,2023,15804890,8923001,16493661,6699.119,2.176,27.704,tourism_domestic_2023_johor.xlsx,0.95824026,0.00042386,0.00040616,0.56457217,,,
Kedah,2022,11186197,5594602,11894479,3469.823,2.112,178.056,tourism_domestic_2023_kedah.xlsx,0.94045288,0.00031019,0.00029172,0.50013441,,,
Kedah,2023,13444055,6452427,13687381,4206.619,2.027,20.184,tourism_domestic_2023_kedah.xlsx,0.9822226,0.0003129,0.00030734,0.47994649,,,
Kelantan,2022,6627155,3544766,8783750,2586.224,3.158,244.997,tourism_domestic_2023_kelantan.xlsx,0.75447901,0.00039025,0.00029443,0.53488503,,,
Kelantan,2023,7549370,4085787,9299793,3228.385,3.073,13.916,tourism_domestic_2023_kelantan.xlsx,0.81177828,0.00042764,0.00034715,0.541209,,,
Melaka,2022,11757166,4559324,16667987,4842.594,2.138,203.165,tourism_domestic_2023_melaka.xlsx,0.70537408,0.00041188,0.00029053,0.38779107,,,
Melaka,2023,15558661,4991129,20093758,6438.411,2.234,32.333,tourism_domestic_2023_melaka.xlsx,0.77430319,0.00041382,0.00032042,0.32079425,,,
Negeri Sembilan,2022,11490144,3760820,14278615,3651.341,2.478,109.477,tourism_domestic_2023_negerisembilan.xlsx,0.80470998,0.00031778,0.00025572,0.32730834,,,
Negeri Sembilan,2023,14959470,4255450,17800523,4777.281,2.418,30.194,tourism_domestic_2023_negerisembilan.xlsx,0.84039497,0.00031935,0.00026838,0.28446529,,,
Pahang,2022,13188959,7794113,14993999,5316.789,2.106,287.367,tourism_domestic_2023_pahang.xlsx,0.87961584,0.00040312,0.00035459,0.59095741,,,
Pahang,2023,16455567,8537108,17632756,6733.344,2.127,24.768,tourism_domestic_2023_pahang.xlsx,0.93323851,0.00040918,0.00038187,0.51879756,,,
Perak,2022,14566727,6866520,17679702,4541.331,2.429,224.479,tourism_domestic_2023_perak.xlsx,0.82392379,0.00031176,0.00025687,0.47138386,,,
Perak,2023,17107518,7503391,18831264,5641.024,2.346,17.442,tourism_domestic_2023_perak.xlsx,0.90846361,0.00032974,0.00029956,0.43860196,,,
Perlis,2022,1669175,710991,1799569,455.619,2.347,310.322,tourism_domestic_2023_perlis.xlsx,0.92754154,0.00027296,0.00025318,0.42595354,,,
Perlis,2023,1950771,735991,2139229,583.87,2.206,16.87,tourism_domestic_2023_perlis.xlsx,0.91190377,0.0002993,0.00027293,0.37728211,,,
Pulau Pinang,2022,10002735,3484229,11705595,3648.399,2.591,97.649,tourism_domestic_2023_pulaupinang.xlsx,0.85452598,0.00036474,0.00031168,0.34832763,,,
Pulau Pinang,2023,13127587,4069699,15350976,5814.735,2.4,31.24,tourism_domestic_2023_pulaupinang.xlsx,0.85516302,0.00044294,0.00037879,0.3100112,,,
Sabah,2022,12589005,3823046,17254974,4825.87,3.058,229.986,tourism_domestic_2023_sabah.xlsx,0.72958702,0.00038334,0.00027968,0.30368135,,,
Sabah,2023,16080074,5775138,19900312,6712.515,2.671,27.731,tourism_domestic_2023_sabah.xlsx,0.80803125,0.00041744,0.00033731,0.35914872,,,
Sarawak,2022,15464621,3988879,19290587,5430.772,3.516,137.519,tourism_domestic_2023_sarawak.xlsx,0.80166669,0.00035117,0.00028152,0.25793577,,,
Sarawak,2023,17901190,5324628,21076631,6942.673,3.482,15.756,tourism_domestic_2023_sarawak.xlsx,0.8493383,0.00038783,0.0003294,0.29744548,,,
Selangor,2022,21989558,6388784,25987930,8734.808,2.323,115.339,tourism_domestic_2023_selangor.xlsx,0.84614504,0.00039723,0.00033611,0.29053717,,,
Selangor,2023,27579478,8455682,28949304,11102.713,2.242,25.421,tourism_domestic_2023_selangor.xlsx,0.9526819,0.00040257,0.00038352,0.30659326,,,
Terengganu,2022,10233282,3689343,12791324,3363.299,2.685,175.158,tourism_domestic_2023_terengganu.xlsx,0.80001742,0.00032866,0.00026294,0.36052393,,,
Terengganu,2023,11760516,4060007,13868810,4192.317,2.594,14.924,tourism_domestic_2023_terengganu.xlsx,0.84798306,0.00035647,0.00030228,0.34522354,,,
W.P. Kuala Lumpur,2022,16912534,4117095,19877593,7732.796,3.087,85.526,tourism_domestic_2023_wpkualalumpur.xlsx,0.8508341,0.00045722,0.00038902,0.24343454,,,
W.P. Kuala Lumpur,2023,22232643,5724789,24012311,10995.324,2.696,31.457,tourism_domestic_2023_wpkualalumpur.xlsx,0.92588518,0.00049456,0.0004579,0.25749476,,,
W.P. Labuan,2022,243695,111658,263150,136.294,3.67,352.133,tourism_domestic_2023_wplabuan.xlsx,0.92606878,0.00055928,0.00051793,0.45818749,,,
W.P. Labuan,2023,331360,164105,372829,194.064,2.886,35.973,tourism_domestic_2023_wplabuan.xlsx,0.88877206,0.00058566,0.00052052,0.49524686,,,
W.P. Putrajaya,2022,1305808,367989,1551058,455.991,2.682,485.548,tourism_domestic_2023_wpputrajaya.xlsx,0.84188212,0.0003492,0.00029399,0.28180942,,,
W.P. Putrajaya,2023,1900379,501088,1964587,669.729,2.08,45.533,tourism_domestic_2023_wpputrajaya.xlsx,0.9673173,0.00035242,0.0003409,0.26367793,,,
