state,year,tourism_intensity,visitor_growth_pct,tourists,average_length_of_stay,receipts_per_resident_rm,norm_tourism_intensity,norm_visitor_growth_pct,norm_tourists,norm_average_length_of_stay,norm_receipts_per_resident_rm,tourism_pressure_index,pressure_band
Johor,2022,3.07231388,238.374,6253816,2.338,1213.50222178,6.1,38.21,79.95,14.83,0,27.69,LOW
Johor,2023,3.84809359,27.704,8923001,2.176,1631.06715037,3.96,43.61,100,10.24,1.93,31.74,LOW
Kedah,2022,5.17137303,178.056,5594602,2.112,1604.09736027,29.06,23.13,71.37,0.38,10.89,29.31,LOW
Kedah,2023,6.14080071,20.184,6452427,2.027,1921.44475403,22.09,19.82,71.79,0,8.08,26.16,LOW
Kelantan,2022,3.62020922,244.997,3544766,3.158,1412.77395389,12.09,39.87,44.69,67.26,5.55,31.46,LOW
Kelantan,2023,4.05923755,13.916,4085787,3.073,1735.87751371,5.63,0,44.77,71.89,4.15,22.05,LOW
Melaka,2022,11.65691652,203.165,4559324,2.138,4801.30279595,100,29.41,57.89,2.05,100,62.77,MODERATE
Melaka,2023,15.13046873,32.333,4991129,2.234,6261.218516,93.15,58.25,55.11,14.23,100,67.75,MODERATE
Negeri Sembilan,2022,9.51249607,109.477,3760820,2.478,3022.88351685,76.54,5.99,47.5,23.79,50.43,44.79,MODERATE
Negeri Sembilan,2023,12.21280921,30.194,4255450,2.418,3900.13960323,70.09,51.48,46.71,26.87,49.99,52.2,MODERATE
Pahang,2022,8.17007929,287.367,7794113,2.106,3293.55695967,61.86,50.46,100,0,57.98,57.35,MODERATE
Pahang,2023,10.01434214,24.768,8537108,2.127,4097.70204479,52.71,34.32,95.59,6.87,54.17,50.95,MODERATE
Perak,2022,5.79332127,224.479,6866520,2.429,1806.1290964,35.86,34.74,87.93,20.65,16.52,40.87,MODERATE
Perak,2023,6.7320628,17.442,7503391,2.346,2219.82685346,26.76,11.15,83.79,21.92,14.4,32.47,LOW
Perlis,2022,5.7597481,310.322,710991,2.347,1572.18426501,35.49,56.2,7.8,15.41,10,27.26,LOW
Perlis,2023,6.65564995,16.87,735991,2.206,1992.05049471,26.16,9.34,6.53,12.3,9.58,14.3,LOW
Pulau Pinang,2022,5.74572635,97.649,3484229,2.591,2095.69705325,35.34,3.03,43.9,31.01,24.59,28.33,LOW
Pulau Pinang,2023,7.40583719,31.24,4069699,2.4,3280.34243484,32.09,54.79,44.59,25.64,36.86,38.88,LOW
Sabah,2022,3.68649302,229.986,3823046,3.058,1413.18047381,12.82,36.11,48.31,60.87,5.57,30.69,LOW
Sabah,2023,4.47078544,27.731,5775138,2.671,1866.29827342,8.88,43.69,64.06,44.26,6.91,31.89,LOW
Sarawak,2022,6.25212088,137.519,3988879,3.516,2195.58196887,40.88,13,50.47,90.15,27.37,42.59,MODERATE
Sarawak,2023,7.15389442,15.756,5324628,3.482,2774.51664469,30.09,5.82,58.92,100,26.15,40.9,MODERATE
Selangor,2022,3.11895352,115.339,6388784,2.323,1238.92713785,6.61,7.45,81.71,13.87,0.71,22,LOW
Selangor,2023,3.82532949,25.421,8455682,2.242,1539.96879204,3.78,36.39,94.66,14.78,0,29.56,LOW
Terengganu,2022,8.62403674,175.158,3689343,2.685,2834.39996629,66.82,22.41,46.57,37.02,45.18,46.17,MODERATE
Terengganu,2023,9.71943471,14.924,4060007,2.594,3464.72479339,50.38,3.19,44.48,38.97,40.77,36.61,LOW
W.P. Kuala Lumpur,2022,8.62356414,85.526,4117095,3.087,3942.89006731,66.82,0,52.14,62.72,76.07,51.29,MODERATE
W.P. Kuala Lumpur,2023,11.08473002,31.457,5724789,2.696,5482.03819116,61.17,55.48,63.49,45.98,83.5,61.57,MODERATE
W.P. Labuan,2022,2.51491228,352.133,111658,3.67,1406.54282766,0,66.65,0,100,5.38,29.14,LOW
W.P. Labuan,2023,3.34707071,35.973,164105,2.886,1960.24242424,0,69.76,0,59.04,8.9,24.14,LOW
W.P. Putrajaya,2022,11.16075214,485.548,367989,2.682,3897.35897436,94.57,100,3.34,36.83,74.81,65.78,MODERATE
W.P. Putrajaya,2023,15.99645623,45.533,501088,2.08,5637.44949495,100,100,3.85,3.64,86.79,64.33,MODERATE
